Author Name,University
Simone Stumpf,University of Glasgow
Mirco Musolesi,University College London
Giuseppe  Sansonetti,Roma Tre University
Amon Rapp,University of Turin
Christos Katsanos,Hellenic Open University
Sherry Sahebi,State University of New York Albany
Fedelucio Narducci,Polytechnic University of Bari
Cataldo Musto,University of Bari Aldo Moro
Antonio Lieto,University of Turin
Martina Lindorfer,Vienna University of Technology
Tommaso  Di Noia,Polytechnic University of Bari
Julian  Frommel,Utrecht University
Amra  Delić,University of Sarajevo
George E. Raptis,University of Patras
Hendrik  Heuer,University of Wuppertal
Zitao Liu,University of Jinan
Carlos  Núñez-Molina,University of Granada
Aditya  Bhattacharya,KU Leuven
Xavier Franch,Polytechnic University of Catalonia
Frédéric  Bevilacqua,Science and Technology of Music and Sound Laboratory
John C. Grundy,Monash University
Matthew John Yee-King,"Goldsmiths, University of London"
Davide Fucci,Blekinge Institute of Technology
Elizabeth F. Churchill,Google LLC
Jean-Baptiste Labrune,Massachusetts Institute of Technology
Marcelo Coelho,Massachusetts Institute of Technology
Vangelis Metsis,Texas State University
Lauren Wilcox,Georgia Institute of Technology
Partha  Pakray,National Institute of Technology Silchar
Ahmad Lotfi,Nottingham Trent University
Jayati Dev,Comcast
Shihwei  Guo,National Chung Hsing University
Justin D Weisz,IBM Research
Michael Muller,IBM Research
Julie A. Kientz,University of Washington
Carlos E Rubio-Medrano,Texas A and M University - Corpus Christi
Hyewon Suh,University of Washington
Fabrizio Sebastiani,Italian National Research Council
Edward J. Delp,Purdue University
C. Busch,Darmstadt University of Applied Sciences
Rainer Böhme,University of Innsbruck
Z. Zhao,University of Amsterdam
Hafiz Malik,University of Michigan-Dearborn
Alejandro  Moreo,Italian National Research Council
Xiongxiao  Xu,Illinois Institute of Technology
Susana  Rebolledo Ruiz,Institute of Physics of Cantabria
Nick  Montfort,Massachusetts Institute of Technology
Alan Chamberlain,University of Nottingham
Nick Bryan-Kinns,Queen Mary University of London
Nikolas Martelaro,Carnegie Mellon University
Milka  Trajkova,Georgia Institute of Technology
RAY LC,City University of Hong Kong
Chengzhi Zhang,Georgia Institute of Technology
Corey  Ford,Queen Mary University of London
Shuoyang  Zheng,Queen Mary University of London
Ayan  Sar,University of Petroleum and Energy Studies
Hasan Berke Ozturk,Kocaeli University
Massimo Zancanaro,Bruno Kessler Foundation
Sihem Amer-Yahia,Grenoble Alpes University
Paula Branco,University of Ottawa
Basanta Joshi,Institute of Engineering Pulchowk
Aman  Shakya,Institute of Engineering Pulchowk
Sushil Jajodia,George Mason University
Kuan-Hsun Chen,University of Twente
Ankit Shah,George Mason University
Rakesh M Verma,University of Houston
B. Eskofier,University of Erlangen-Nuremberg
Dror G. Feitelson,Hebrew University of Jerusalem
Marcos  Kalinowski,Pontifical Catholic University of Rio de Janeiro
Domenico  Gigante,University of Bari Aldo Moro
Matteo  Esposito,Tor Vergata University of Rome
Diego  Gosmar,
Elisa Rubegni,"School of Computing and Communications, Lancaster University"
Ee Peng Lim,Singapore Management University
Theo W C Huibers,University of Twente
Ninghui Li,Purdue University
ALBRECHT SCHMIDT,University of Stuttgart
Maria Soledad Pera,Delft University of Technology
E. Bertino,Purdue University
Arne Meier,Gottfried Wilhelm Leibniz University Hannover
Johannes K. Fichte,Linköping University
Sven Mayer,Ludwig-Maximilians-University Munich
Sen Chen,Tianjin University
Gary  Ang,Singapore Management University
Mengdie  Huang,Xidian University
Shan Lu,The University of Chicago
Nishanth R Sastry,University of Surrey
Nikolaos Laoutaris,IMDEA Networks Institute
Phillip b. Gibbons,Carnegie Mellon University
Luca Maria Aiello,IT University of Copenhagen
Roberto Natella,University of Naples Federico II
Zhedong Zheng,University of Macau
Silvia  Rossi,Center for Mathematics and Computer Science - Amsterdam
Vaibhav  Mavi,New York University
Mohammed Latif Siddiq,University of Notre Dame
Jiahao  Zhang,University of Notre Dame
S. P. Mohanty,University of North Texas
TIMOTHY C. LETHBRIDGE,University of Ottawa
Massoud Pedram,University of Southern California
Rita  Cucchiara,University of Modena and Reggio Emilia
Weichen Liu,Nanyang Technological University
Markus Wagner,Monash University
Yang Ni,"University of California, Irvine"
Antonio Liotta,Free University of Bozen-Bolzano
Barbara Russo,Free University of Bozen-Bolzano
Mark Staples,Commonwealth Scientific and Industrial Research Organisation
Stephan  Sigg,Aalto University
Arijit Ukil,Tata Consultancy Services India
Rajesh Vasa,Deakin University
Luis Terán,Lucerne University of Applied Sciences and Arts
Arpan Pal,Tata Consultancy Services India
Chun-Hua Tsai,University of Nebraska Omaha
David Valle-Cruz,Autonomous University of the State of Mexico
Wern Han Lim,Monash University Malaysia
Dongqi  Cai,Beijing University of Posts and Telecommunications
Diaeddin  Rimawi,Free University of Bozen-Bolzano
José Alberto Mancera Andrade,Lucerne University of Applied Sciences and Arts
Bogdan Emanuel Ionescu,University Politehnica of Bucharest
Symeon Papadopoulos,Information Technologies Institute
Arnaud  Gotlieb,Simula Research Laboratory
Spiros  Baxevanakis,Information Technologies Institute
