Author Name,University
Tuan  Bui,Ho Chi Minh City University of Technology - HCMUT
Lukasz Golab,University of Waterloo
Weining Qian,East China Normal University
Rajesh R Bordawekar,IBM Thomas J. Watson Research Center
Donatella  Firmani,Sapienza University of Rome
Renata Borovica-Gajic,University of Melbourne
Yu Shen,Peking University
Chunwei  Liu,MIT Computer Science & Artificial Intelligence Laboratory
Po Hao Chen,
Niki van Stein,Leiden University
Danny Weyns,KU Leuven
Yuta Nakashima,Osaka University
Julian Harty,The Open University
Takahiro Komamizu,Nagoya University
Qianmu  Li,Nanjing University of Science and Technology
Jiyi  Li,University of Yamanashi
Qin Jin,Renmin University of China
Luca  Rossetto,University of Zurich
Sicong Liu,Northwestern Polytechnical University
Liang  Pang,Institute of Computing Technology Chinese Academy of Sciences
Marc A. Kastner,Kyoto University
Wanwan Li,The University of Tulsa
Sohail Ahmed Khan,University of Bergen
Andy Guanhong Chen,Peking University
Aline  Duelen,Vrije Universiteit Brussel
Keno  Hanken,
Christoph Johannes Weber,"College of Television and Cinematic Art, Munich"
P. Lago,Free University Amsterdam
Alberto Bacchelli,University of Zurich
Alan F Blackwell,University of Cambridge
J. Nathan Matias,Cornell University
Jason D. Hartline,Northwestern University
Adam Perer,Carnegie Mellon University
Neal Patwari,Washington University in St. Louis
J. Mankoff,University of Washington
Jaime  Arguello,The University of North Carolina at Chapel Hill
André Panisson,Institute for Scientific Interchange Foundation
Fabien Tarissan,Paris-Saclay Normal School
Gianluca Demartini,The University of Queensland
Alex Beutel,"OpenAI, Inc."
Aditya  Vashistha,University of Washington
Juho Kim,Korea Advanced Institute of Science and Technology
Jessica Hullman,Northwestern University
Bill Howe,University of Washington
Tanushree  Mitra,University of Washington
Jennifer Wormian Wortman Vaughan,Microsoft Corporation
Ujwal Gadiraju,Delft University of Technology
Amy Xian Zhang,UW College of Engineering
Maria De-Arteaga,The University of Texas at Austin
Catherine D'Ignazio,Massachusetts Institute of Technology
Yen Chia Hsu,University of Amsterdam
Jessie  Finocchiaro,Harvard University
Lucas Rosenblatt,New York University
Lei  Han,The University of Queensland
Stephanie Ballard,Microsoft Corporation
Emily  Tseng,Cornell University
John Joon Chung,"University of Michigan, Ann Arbor"
Tae Soo Kim,Korea Advanced Institute of Science and Technology
Danaë  Metaxa,University of Pennsylvania
Yue Wang,The University of North Carolina at Chapel Hill
Katelyn  Morrison,Carnegie Mellon University
Peter M VanNostrand,Worcester Polytechnic Institute
Joachim  Baumann,University of Zurich
Adina  Williams,Meta
B. Shizuki,University of Tsukuba
Oleg V. Komogortsev,Texas State University
R. Manduchi,"University of California, Santa Cruz"
Karthik Dantu,"University at Buffalo, The State University of New York"
Nobuo Kawaguchi,Nagoya University
Jun Luo,Nanyang Technological University
Jeongyeup Paek,Chung-Ang University
Haibing Guan,Shanghai Jiao Tong University
Yunhao Liu,Tsinghua University
"Lee, Sung-Ju",Korea Advanced Institute of Science and Technology
Jeonggil  Ko,Yonsei University
Kota Tsubouchi,Yahoo Japan Corporation
Inseok Hwang,Pohang University of Science and Technology
Youngki  Lee,Seoul National University
Alessandro Bruno,University of Palermo
Tadashi Okoshi,Keio University
Shoya  Ishimaru,Osaka Metropolitan University
Deepak  Vasisht,University of Illinois Urbana-Champaign
Yuuki Nishiyama,The University of Tokyo
Taesik  Gong,Nokia Bell Labs
Toshiya Isomoto,University of Tsukuba
Hem  Regmi,University of South Carolina
Kaiyan  Cui,The Hong Kong Polytechnic University
Qiang Yang,The Hong Kong Polytechnic University
Rui Xiao,Zhejiang University
Bangjie  Sun,National University of Singapore
Reza  Tavasoli,University of South Carolina
Leming  Shen,The Hong Kong Polytechnic University
Ko Watanabe,German Research Center for Artificial Intelligence (DFKI)
Jun Han,Korea Advanced Institute of Science and Technology
Alejandro  Garcia de la Santa,University of the Basque Country
Anatolii  Evdokimov,University of Richmond
Antonio González,Polytechnic University of Catalonia
Fabrizio Pastore,University of Luxembourg
Eric T Phipps,"Sandia National Laboratories, New Mexico"
Gennady Pekhimenko,University of Toronto
David A B Hyde,Vanderbilt University
Linda Hirsch,Ludwig-Maximilians-University Munich
Changkun  Ou,Ludwig-Maximilians-University Munich
Hazem  Fahmy,University of Luxembourg
Shang  Wang,University of Toronto
Marcus R P Ritt,Federal University of Rio Grande do Sul
Per Runeson,Lund University
Mohammad Abdullah Al Faruque,"University of California, Irvine"
Marco  Fiore,IMDEA Networks Institute
Benjamin Carrion Schäfer,Karlsruhe Institute of Technology
Hoan Anh Nguyen,"Amazon.com, Inc."
Kenji Hatano,Doshisha University
Xiaohui  Yu,York University
N. Koudas,University of Toronto
Seehwan Yoo,Dankook University
Hong Chen,Renmin University of China
Yang Cao,The University of Edinburgh
Niccolò  Meneghetti,University of Michigan-Dearborn
Mingmin Zhao,University of Pennsylvania
Weitao Xu,City University of Hong Kong
Zhenyu  Yan,Nanyang Technological University
Xiaomin  Ouyang,Chinese University of Hong Kong
Gaoxiang Luo,University of Pennsylvania
Francesco  Marchiori,University of Padua
Abdelwahab  Hamou-Lhadj,Concordia University
Teemu  Lehtinen,Aalto University
Thomas Durieux,Delft University of Technology
Charles  Koutcheme,Aalto University
Sean Siqueira,Federal University of the State of Rio de Janeiro
Luiz Fernando Capretz,Western University
Melina C Vidoni,The Australian National University
Matías  Brizzio,IMDEA Software Institute
Yuji  Iwahori,Chubu University
Mauro Caporuscio,"Linnaeus University, Kalmar"
Sascha Ossowski,Rey Juan Carlos University
Sachin Premsukh Lodha,Tata Consultancy Services India
O. Pivert,University of Rennes
Eduardo Alonso,University of London
David M. Pennock,Rutgers University–New Brunswick
Mário Marques Freire,Telecommunications Institute
W.-T. Balke,Technical University of Braunschweig
Maria-Esther Vidal,Simón Bolívar University
Damien Magoni,University of Bordeaux
Peter L Brusilovsky,University of Pittsburgh
José C Riquelme,University of Seville
Michael Granitzer,University of Passau
Miguel A. Martínez-Prieto,University of Valladolid
Leonardo Montecchi,Norwegian University of Science and Technology
Pablo Fillottrani,South National University
Ricardo  Cerri,Federal University of São Carlos
Ahmet Soylu,Oslo Metropolitan University
Karan Mitra,Luleå University of Technology
Jinkyu Lee,Sungkyunkwan University
Filippo Bistaffa,Artificial Intelligence Research Institute
Stefan Schulte,Hamburg University of Technology
Jinyeong  Bak,Sungkyunkwan University
Stephen J. Aguilar,University of Southern California
Kamil Akhuseyinoglu,University of Pittsburgh
Arun Balajiee Lekshmi Narayanan,University of Pittsburgh
Javier  Conde,Technical University of Madrid
Abir Mohammad Hadi,South Dakota State University
Mayra  Russo,Gottfried Wilhelm Leibniz University Hannover
Virginia  Partridge,University of Massachusetts Amherst
Tarun Teja Kairamkonda,Rowan University
Hanspeter Pfister,Harvard John A. Paulson School of Engineering and Applied Sciences
Reynold J. Bailey,Rochester Institute of Technology
Prasant Misra,Tata Consultancy Services India
Alex Q Chen,Singapore Institute of Technology
Chinasa T. Okolo,The Brookings Institution
Margaret E. Morris,University of Washington
M Beigl,Karlsruhe Institute of Technology
Shwetak N. Patel,University of Washington
Simon Mayer,University of St. Gallen
Vikram  Iyer,University of Washington
Lakmal  Meegahapola,"Swiss Federal Institute of Technology, Zurich"
Xin  Liu,University of Washington
"Xuhai ""Orson"" Xu",Massachusetts Institute of Technology
Xinbo  Gao,Chongqing University of Posts and Telecommunications
Akash Kumar,Ruhr University Bochum
Jun Liu,University of Waterloo
Yonggang Wen,School of Computer Science and Engineering
Raffaele  Perego,"Institute of Information Science and Technologies ""Alessandro Faedo"""
Evangelos Kanoulas,University of Amsterdam
Keishi Tajima,Kyoto University
Takashi Kanai,The University of Tokyo
Tetsuya Sakai,Waseda University
Raphael Troncy,EURECOM- Graduate School and Research Center in Digital Sciences
Thanassis  Tiropanis,University of Southampton
G. Pucci,University of Padua
H. Yamana,Waseda University
Ed H. Chi,DeepMind Technologies Limited
Jiebo  Luo,University of Rochester
Philippe Cudre-Mauroux,University of Fribourg
Ruixuan Li,Huazhong University of Science and Technology
Vasudeva Varma,"International Institute of Information Technology, Hyderabad"
John Vines,The University of Edinburgh
Srikanta Bedathur,Indian Institute of Technology Delhi
Junbin Gao,The University of Sydney Business School
Francesco Gullo,Yahoo Research Labs
Roman  Klinger,University of Bamberg
Charalampos E. Tsourakakis,Boston University
Rajesh K. Gupta,"University of California, San Diego"
Bingsheng He,National University of Singapore
Anshul Gandhi,Stony Brook University
Jun  Zhao,University of Oxford
Zhengzhang Chen,"NEC Laboratories America, Inc."
Emilio Ferrara,University of Southern California
Hoda M Eldardiry,Virginia Polytechnic Institute and State University
Fei Sun,Institute of Computing Technology Chinese Academy of Sciences
R. Zimmermann,National University of Singapore
Aris Filos-Ratsikas,The University of Edinburgh
Matteo Ceccarello,University of Padua
Hamada M. Zahera,Paderborn University
Shuo Chang,Google LLC
Wei  Cai,"The Chinese University of Hong Kong, Shenzhen"
Faegheh Hasibi,Radboud University
Wei-Cheng Chang,"Amazon.com, Inc."
Stefan Heindorf,Paderborn University
Leye Wang,"Key Lab of High Confidence Software Technologies, Ministry of Education"
Xiangnan He,University of Science and Technology of China
Ruofei Du,Google LLC
Jingbo Shang,"University of California, San Diego"
Minhui (Jason) Xue,Commonwealth Scientific and Industrial Research Organisation
Susik Yoon,Korea University
Enrico Palumbo,Spotify USA Inc
Jian Xu,Alibaba Group Holding Limited
Eva  Papadogiannaki,Technical University of Crete
Sungchul  Kim,Adobe Inc.
Chen  Qu,University of Massachusetts Amherst
Xianfeng  Tang,"Amazon.com, Inc."
Jiong  Zhu,"University of Michigan, Ann Arbor"
Gagan  Somashekar,Stony Brook University
Ka-Ho Chow,Georgia Institute of Technology
Sungsu Lim,Chungnam National University
Yefeng  Zheng,Tencent
Yiyue  Qian,University of Notre Dame
Alisha  Ukani,"University of California, San Diego"
Jiaying  Lu,Emory University
Lionel Tailhardat,
Kibum  Kim,Korea Advanced Institute of Science and Technology
Jiaxing  Shen,"Lingnan University, Hong Kong"
Ziming  Zhao,Zhejiang University
Hongzhou Chen,"The Chinese University of Hong Kong, Shenzhen"
Andy Shueh Chih Yang,The University of Sydney
Andreas  Theofanous,Foundation for Research and Technology-Hellas
Jiayin  Zhi,Carnegie Mellon University
Jofish Kaye,Wells Fargo
Jonathan Grudin,University of Washington
Gregor Stiglic,University of Maribor
Mark O Riedl,Georgia Institute of Technology
Prasenjit Mitra,Pennsylvania State University
Mark Chignell,University of Toronto
Jaime Teevan,Microsoft Corporation
Hrvoje Benko,Meta
Jeffrey Nichols,Apple Computer
Marc Erich Latoschik,Julius-Maximilian University of Würzburg
Antti Oulasvirta,Aalto University
Jinwook Seo,Seoul National University
Victoria Bellotti,Bloomberg L.P.
Tovi Grossman,University of Toronto
F Steinicke,University of Hamburg
Shaun K. Kane,University of Colorado Boulder
Jon E. Froehlich,UW College of Engineering
Brent Hecht,Northwestern University
Jo Vermeulen,University of Birmingham
Andreas Bulling,Max Planck Institute for Informatics
Greg  Walsh,University of Baltimore
Brian Y. Lim,National University of Singapore
Suranga Nanayakkara,National University of Singapore
Ming Yin,Purdue University
Meredith Ringel Morris,Google LLC
Katie Seaborn,Tokyo Institute of Technology
Homei Miyashita,Meiji University
Casey Fiesler,University of Colorado Boulder
Minsuk Kahng,Google LLC
Abdallah  El Ali,Center for Mathematics and Computer Science - Amsterdam
Hernisa Kacorri,"University of Maryland, College Park"
Jed R. Brubaker,University of Colorado Boulder
Amanda Swearngin,Apple Computer
Yuntao Wang,Key Laboratory of Pervasive Computing Ministry of Education
Chris Norval,University of Aberdeen
Nitesh Goyal,Google LLC
Irene Rae,Google LLC
Tim Althoff,Dartmouth College
Tam V Nguyen,University of Dayton
Sean Rintel,Microsoft Research
Syed Masum Billah,Pennsylvania State University
Elissa M. Redmiles,Georgetown University
Charles Patrick Martin,The Australian National University
Giovanni M. Troiano,Northeastern University
Utkarsh  Dwivedi,"University of Maryland, College Park"
Alexandra Kitson,Simon Fraser University
Yi-Chi Liao,Aalto University
Kenan Bektaş,University of St. Gallen
Michelle S Lam,Stanford University
Young-Ho Kim,Naver Labs Corporation
Tianshi  Li,Khoury College of Computer Sciences
Gillian Smith,Worcester Polytechnic Institute
Dani  Kalarikalayil Raju,Indian Institute of Technology Bombay
Samir  Passi,Microsoft Corporation
Ziang  Xiao,Johns Hopkins University
Morgan Klaus Scheuerman,University of Colorado Boulder
Minsuk Chang,Google LLC
Danielle Albers Szafir,The University of North Carolina at Chapel Hill
Qiaosi Wang,Georgia Institute of Technology
Chen  Liang,Key Laboratory of Pervasive Computing Ministry of Education
Salma Elsayed-Ali,"University of Maryland, College Park"
Subigya Nepal,Dartmouth College
Chongyang Wang,Tsinghua University
Sukran  Karaosmanoglu,University of Hamburg
Fiona  Draxler,University of Mannheim
Bingsheng  Yao,Northeastern University
Zhiping  Zhang,Khoury College of Computer Sciences
Nur  Yildirim,Carnegie Mellon University
Florian  Lehmann,University of Bayreuth
Kaisa Väänänen,Tampere University
Robin Welsch,Aalto University
Xinru Wang,Purdue University
